ticker,has_daily_cache_file,has_hourly_cache_file,daily_cache_rows,hourly_cache_rows,daily_cache_first_date,daily_cache_last_date,hourly_cache_first_date,hourly_cache_last_date,official_daily_actual_start,official_daily_actual_end,official_hourly_actual_start,official_hourly_actual_end,daily_pre_eval_rows,daily_eval_rows,hourly_pre_eval_rows,hourly_eval_rows,daily_benchmark_usable_2025,hourly_benchmark_usable_2025,benchmark_usable_2025,benchmark_usable_frequency,effective_daily_start,effective_daily_end,effective_hourly_start,effective_hourly_end,missing_data_reason,can_enter_expanded_benchmark
TPB,False,True,0,655,,,,,,,2025-10-27,2025-12-31,0,0,0,240,False,False,False,,,,2025-10-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
VCB,True,True,1625,655,2009-06-30,2015-12-31,,,2009-06-30,2015-12-31,2025-10-27,2025-12-31,1625,0,0,240,False,False,False,,2009-06-30,2015-12-31,2025-10-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
VCG,True,True,1828,860,2008-09-05,2015-12-31,,,2008-09-05,2015-12-31,2025-08-27,2025-12-31,1828,0,0,445,False,False,False,,2008-09-05,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
VCI,False,True,0,245,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
VGC,True,True,56,655,2015-10-15,2015-12-31,,,2015-10-15,2015-12-31,2025-10-27,2025-12-31,56,0,0,240,False,False,False,,2015-10-15,2015-12-31,2025-10-27,2025-12-31,daily:ends_before_eval_end_tolerance; pre_eval_rows_below_min:56<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
VGI,False,False,0,0,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
VHC,True,True,1994,655,2007-12-24,2015-12-31,,,2007-12-24,2015-12-31,2025-10-27,2025-12-31,1994,0,0,240,False,False,False,,2007-12-24,2015-12-31,2025-10-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
VHM,True,True,1031,860,2011-11-10,2015-12-31,,,2011-11-10,2015-12-31,2025-08-27,2025-12-31,1031,0,0,445,False,False,False,,2011-11-10,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
VIB,False,True,0,140,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
VIC,True,True,2062,615,2007-09-19,2015-12-31,,,2007-09-19,2015-12-31,2025-11-06,2025-12-31,2062,0,0,200,False,False,False,,2007-09-19,2015-12-31,2025-11-06,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:200<500,False
VIX,True,True,1496,290,2009-12-29,2015-12-31,,,2009-12-29,2015-12-31,,,1496,0,0,0,False,False,False,,2009-12-29,2015-12-31,,,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
VJC,False,True,0,860,,,,,,,2025-08-27,2025-12-31,0,0,0,445,False,False,False,,,,2025-08-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
VND,True,True,1437,860,2010-03-30,2015-12-31,,,2010-03-30,2015-12-31,2025-08-27,2025-12-31,1437,0,0,445,False,False,False,,2010-03-30,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
VNM,True,True,2476,655,2006-01-19,2015-12-31,,,2006-01-19,2015-12-31,2025-10-27,2025-12-31,2476,0,0,240,False,False,False,,2006-01-19,2015-12-31,2025-10-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
VOS,False,False,0,0,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
VPB,False,True,0,860,,,,,,,2025-08-27,2025-12-31,0,0,0,445,False,False,False,,,,2025-08-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
VPI,False,True,0,855,,,,,,,2025-08-27,2025-12-31,0,0,0,443,False,False,False,,,,2025-08-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:443<500,False
VRE,False,True,0,860,,,,,,,2025-08-27,2025-12-31,0,0,0,445,False,False,False,,,,2025-08-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
VSH,True,False,2433,0,2006-01-04,2015-12-31,,,2006-01-04,2015-12-31,,,2433,0,0,0,False,False,False,,2006-01-04,2015-12-31,,,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
VTK,False,False,0,0,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
VTP,False,True,0,215,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
