feature_name,category,input_source,exact_provenance,formula_logic,expected_availability,leakage_risk_note,usable_for_forecast,usable_for_regime,usable_for_risk,status
d_rs_vol_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rsi,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rsi_14,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rsi_14_lag_1,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rsi_14_lag_2,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rsi_14_lag_3,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rsi_14_lag_5,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_s_ret,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_s_ret_5d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_sector_return_20d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_sentiment_avg,sentiment_news,sentiment/news context,local computation,deterministic rolling/lagged transformation,requires sentiment artifact; otherwise absent by design,Computed from current and past rows only.,True,False,False,experimental
d_sentiment_std,sentiment_news,sentiment/news context,local computation,deterministic rolling/lagged transformation,requires sentiment artifact; otherwise absent by design,Computed from current and past rows only.,True,False,False,experimental
d_sma_20,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_sma_200,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_sma_50,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_stoch_d_14,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_stoch_k_14,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_support_1,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_trend_regime_strength,regime_state,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Rule-based label uses trailing moving averages and trailing volatility only.,True,True,True,experimental
d_true_range,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_turnover,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_turnover_ma_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_turnover_ma_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_turnover_ma_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
d_turnover_ratio_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_turnover_ratio_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_turnover_ratio_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
d_unchanged,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_value_ratio_10,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_value_ratio_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_value_ratio_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volatility_regime_code,regime_state,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Rule-based label uses trailing moving averages and trailing volatility only.,True,True,True,experimental
d_volume_lag_1,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_lag_2,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_lag_3,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_lag_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_ma_10,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_ma_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_ma_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_max_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_max_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_max_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_min_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_min_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_min_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_ratio_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_ratio_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_ratio_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_shock_10,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_shock_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_shock_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_spike_zscore_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_std_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_std_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_volume_std_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
d_vroc_20,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_vroc_5,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_vroc_60,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
decliners,market_context,market/sector/breadth context,derived from vnstock_data,deterministic rolling/lagged transformation,requires market/sector/breadth context joins,Computed from current and past rows only.,True,True,True,active
delta_covar,risk_layer,risk engine,local computation,change in CoVaR relative to rolling baseline,requires advanced risk engine during training/inference,Computed from trailing asset and market returns only.,False,True,True,active
dist_ma_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
dist_ma_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
dist_ma_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,active
ema_12,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
ema_20,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
ema_50,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
foreign_net_value,flow_microstructure,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,requires foreign_flow artifact or live vnstock_data trading fetch,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,False,True,active
foreign_net_value_ratio,flow_microstructure,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,requires foreign_flow artifact or live vnstock_data trading fetch,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,False,True,active
foreign_net_volume,flow_microstructure,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,requires foreign_flow artifact or live vnstock_data trading fetch,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,False,True,active
foreign_net_volume_ratio,flow_microstructure,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,requires foreign_flow artifact or live vnstock_data trading fetch,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,False,True,active
foreign_participation_20,flow_microstructure,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,requires foreign_flow artifact or live vnstock_data trading fetch,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,False,True,active
fx_usdvnd,macro_cross_asset,macro/commodity context,derived from vnstock_data,deterministic rolling/lagged transformation,requires macro_context artifact or live vnstock_data macro/commodity fetch,Requires backward-looking date alignment from released macro series.,True,True,True,experimental
fx_usdvnd_ret_1d,macro_cross_asset,macro/commodity context,derived from vnstock_data,deterministic rolling/lagged transformation,requires macro_context artifact or live vnstock_data macro/commodity fetch,Requires backward-looking date alignment from released macro series.,True,True,True,active
fx_usdvnd_zscore_20,macro_cross_asset,macro/commodity context,derived from vnstock_data,deterministic rolling/lagged transformation,requires macro_context artifact or live vnstock_data macro/commodity fetch,Requires backward-looking date alignment from released macro series.,True,True,True,active
gold_price,macro_cross_asset,macro/commodity context,derived from vnstock_data,deterministic rolling/lagged transformation,requires macro_context artifact or live vnstock_data macro/commodity fetch,Requires backward-looking date alignment from released macro series.,True,True,True,experimental
gold_price_ret_1d,macro_cross_asset,macro/commodity context,derived from vnstock_data,deterministic rolling/lagged transformation,requires macro_context artifact or live vnstock_data macro/commodity fetch,Requires backward-looking date alignment from released macro series.,True,True,True,active
gold_price_zscore_20,macro_cross_asset,macro/commodity context,derived from vnstock_data,deterministic rolling/lagged transformation,requires macro_context artifact or live vnstock_data macro/commodity fetch,Requires backward-looking date alignment from released macro series.,True,True,True,active
high_low_range,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
high_low_range_pct,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
hv_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
interest_rate,macro_cross_asset,macro/commodity context,derived from vnstock_data,deterministic rolling/lagged transformation,requires macro_context artifact or live vnstock_data macro/commodity fetch,Requires backward-looking date alignment from released macro series.,True,True,True,experimental
interest_rate_ret_1d,macro_cross_asset,macro/commodity context,derived from vnstock_data,deterministic rolling/lagged transformation,requires macro_context artifact or live vnstock_data macro/commodity fetch,Requires backward-looking date alignment from released macro series.,True,True,True,active
interest_rate_zscore_20,macro_cross_asset,macro/commodity context,derived from vnstock_data,deterministic rolling/lagged transformation,requires macro_context artifact or live vnstock_data macro/commodity fetch,Requires backward-looking date alignment from released macro series.,True,True,True,active
log_return,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
log_return_lag_1,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
log_return_lag_2,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
log_return_lag_3,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
log_return_lag_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
m_ret,market_context,market/sector/breadth context,derived from vnstock_data,deterministic rolling/lagged transformation,requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
m_ret_20d,market_context,market/sector/breadth context,derived from vnstock_data,deterministic rolling/lagged transformation,requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
m_ret_5d,market_context,market/sector/breadth context,derived from vnstock_data,deterministic rolling/lagged transformation,requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
macd_hist,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
macd_line,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
macd_signal,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
market_breadth,market_context,market/sector/breadth context,derived from vnstock_data,deterministic rolling/lagged transformation,requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
market_regime_code,market_context,market/sector/breadth context,derived from vnstock_data,"bull=1, sideways=0, bear=-1 from SMA/trailing-return rules",requires market/sector/breadth context joins,Rule-based label uses trailing moving averages and trailing volatility only.,True,True,True,active
market_return_20d,market_context,market/sector/breadth context,derived from vnstock_data,deterministic rolling/lagged transformation,requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
market_return_60d,market_context,market/sector/breadth context,derived from vnstock_data,deterministic rolling/lagged transformation,requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
momentum_10,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
momentum_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
momentum_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
net_advancers,market_context,market/sector/breadth context,derived from vnstock_data,deterministic rolling/lagged transformation,requires market/sector/breadth context joins,Computed from current and past rows only.,True,True,True,active
news_volume,sentiment_news,sentiment/news context,local computation,deterministic rolling/lagged transformation,requires sentiment artifact; otherwise absent by design,Computed from current and past rows only.,True,False,False,active
oil_price,macro_cross_asset,macro/commodity context,derived from vnstock_data,deterministic rolling/lagged transformation,requires macro_context artifact or live vnstock_data macro/commodity fetch,Requires backward-looking date alignment from released macro series.,True,True,True,experimental
oil_price_ret_1d,macro_cross_asset,macro/commodity context,derived from vnstock_data,deterministic rolling/lagged transformation,requires macro_context artifact or live vnstock_data macro/commodity fetch,Requires backward-looking date alignment from released macro series.,True,True,True,active
oil_price_zscore_20,macro_cross_asset,macro/commodity context,derived from vnstock_data,deterministic rolling/lagged transformation,requires macro_context artifact or live vnstock_data macro/commodity fetch,Requires backward-looking date alignment from released macro series.,True,True,True,active
open_close_spread,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
open_close_spread_pct,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
open_to_close_return_1d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
overnight_return_1d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
park_vol_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
pct_return,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
pct_return_lag_1,price_volume_core,ohlcv,derived from vnstock_data,lagged value,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
pct_return_lag_2,price_volume_core,ohlcv,derived from vnstock_data,lagged value,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
pct_return_lag_3,price_volume_core,ohlcv,derived from vnstock_data,lagged value,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
pct_return_lag_5,price_volume_core,ohlcv,derived from vnstock_data,lagged value,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
pivot,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
prev_close,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
price_gap,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
range_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
range_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
regime_label,regime_state,regime detector,local computation,encoded regime state from the local regime detector,requires regime detection during training/inference,Generated from trailing features only.,True,True,True,active
regime_probability,regime_state,regime detector,local computation,maximum state probability from the local regime detector,requires regime detection during training/inference,Generated from trailing features only.,True,True,True,active
rel_to_market,market_context,market/sector/breadth context,derived from vnstock_data,deterministic rolling/lagged transformation,requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
rel_to_sector,market_context,market/sector/breadth context,derived from vnstock_data,deterministic rolling/lagged transformation,requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
relative_strength_market_20,price_volume_core,ohlcv,derived from vnstock_data,asset trailing return minus benchmark trailing return,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
relative_strength_market_60,price_volume_core,ohlcv,derived from vnstock_data,asset trailing return minus benchmark trailing return,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,active
relative_strength_sector_20,price_volume_core,ohlcv,derived from vnstock_data,asset trailing return minus benchmark trailing return,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
resistance_1,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
return_10d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
return_20d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
return_3d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
return_5d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
return_roll_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
return_roll_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
return_roll_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,deprecated
roc_20,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
roc_5,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
roc_60,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,active
rolling_beta_market_20,market_context,market/sector/breadth context,derived from vnstock_data,"rolling covariance(asset, market) / variance(market)",requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
rolling_beta_market_60,market_context,market/sector/breadth context,derived from vnstock_data,"rolling covariance(asset, market) / variance(market)",requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
rolling_beta_sector_20,market_context,market/sector/breadth context,derived from vnstock_data,deterministic rolling/lagged transformation,requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
rolling_corr_market_20,market_context,market/sector/breadth context,derived from vnstock_data,rolling correlation,requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
rolling_corr_market_60,market_context,market/sector/breadth context,derived from vnstock_data,rolling correlation,requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
rolling_corr_sector_20,market_context,market/sector/breadth context,derived from vnstock_data,rolling correlation,requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
rolling_drawdown,risk_layer,risk engine,local computation,rolling peak-to-trough drawdown on trailing return path,requires advanced risk engine during training/inference,Computed from trailing returns only.,False,True,True,active
rolling_max_20,price_volume_core,ohlcv,derived from vnstock_data,rolling maximum of close,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
rolling_max_5,price_volume_core,ohlcv,derived from vnstock_data,rolling maximum of close,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
rolling_max_60,price_volume_core,ohlcv,derived from vnstock_data,rolling maximum of close,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,active
rolling_min_20,price_volume_core,ohlcv,derived from vnstock_data,rolling minimum of close,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
rolling_min_5,price_volume_core,ohlcv,derived from vnstock_data,rolling minimum of close,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
rolling_min_60,price_volume_core,ohlcv,derived from vnstock_data,rolling minimum of close,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,active
rolling_volatility_10,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
rolling_volatility_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
rolling_volatility_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
rolling_volatility_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,active
rs_vol_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
rsi,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
rsi_14,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
rsi_14_lag_1,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
rsi_14_lag_2,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
rsi_14_lag_3,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
rsi_14_lag_5,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
