symbol,organ_name
MWG,CTCP Đầu tư Thế giới Di động
PVG,CTCP Kinh doanh LPG Việt Nam
TRV,CTCP Vận tải Đường sắt
HDM,CTCP Dệt may Huế
SBG,CTCP Tập đoàn Cơ khí Công nghệ cao Siba
SSN,CTCP Xuất nhập khẩu Thủy sản Sài Gòn
VTB,CTCP Viettronics Tân Bình
VES,CTCP Đầu tư và Xây dựng Điện Mê Ca Vneco
L40,CTCP Đầu Tư và Xây dựng 40
VBC,CTCP Nhựa - Bao bì Vinh
VTI,CTCP Sản xuất - Xuất nhập khẩu Dệt may
L61,CTCP Lilama 69-1
NED,CTCP Đầu tư và Phát triển Điện Tây Bắc
OIL,Tổng Công ty Dầu Việt Nam - CTCP
MHC,CTCP MHC
GVT,CTCP Giấy Việt Trì
TTE,CTCP Đầu tư Năng lượng Trường Thịnh
NO1,CTCP Tập đoàn 911
HCC,CTCP Bê tông Hòa Cầm - Intimex
NSS,CTCP Nông Súc Sản Đồng Nai
MFS,CTCP Dịch vụ Kỹ thuật Mobifone
DIC,CTCP Đầu tư và Thương mại DIC
KDM,CTCP Tập Đoàn GCL
SHA,CTCP Sơn Hà Sài Gòn
TSA,CTCP Đầu tư và Xây lắp Trường Sơn
VCA,CTCP Thép VICASA 
SEA,Tổng Công ty Thủy sản Việt Nam - CTCP
MTB,CTCP Môi trường và Công trình Đô thị Tỉnh Thái Bình
SGP,CTCP Cảng Sài Gòn
GMA,CTCP G-Automobile
HPP,CTCP Sơn Hải Phòng
BTU,CTCP Công trình Đô thị Bến Tre
BIG,CTCP Đầu tư Big Group Holdings
POS,CTCP Vận hành và Xây lắp PTSC
KOS,CTCP KOSY
HMR,CTCP Đá Hoàng Mai
MLC,CTCP Môi trường Đô thị Tỉnh Lào Cai
GER,CTCP Thể thao Ngôi sao Geru
TCL,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng
THM,CTCP Tứ Hải Hà Nam
SDC,CTCP Tư vấn Sông Đà
BNW,CTCP Nước sạch Bắc Ninh
PHR,CTCP Cao su Phước Hòa
PTE,CTCP Xi măng Phú Thọ
SCI,CTCP SCI E&C
THD,CTCP Thaiholdings
SPH,CTCP Xuất nhập khẩu Thủy sản Hà Nội
NGC,CTCP Chế biến Thủy sản xuất khẩu Ngô Quyền
PWA,CTCP Bất động sản Dầu khí
CDC,CTCP Chương Dương
PVS,Tổng Công ty cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam
HHC,CTCP Bánh kẹo Hải Hà 
DBD,CTCP Dược - Trang thiết bị Y tế Bình Định (Bidiphar)
UPH,CTCP Dược phẩm TW 25
X20,CTCP X20
RCD,CTCP  Xây dựng - Địa ốc Cao su
DTA,CTCP Đệ Tam
PJT,CTCP Vận tải Xăng dầu Đường Thủy Petrolimex
SDV,CTCP Dịch vụ Sonadezi
SJE,CTCP Sông Đà 11
FMC,CTCP Thực phẩm Sao Ta
TNM,CTCP Xuất nhập khẩu và Xây dựng Công trình
DZM,CTCP Cơ điện Dzĩ An
DSP,CTCP Dịch vụ Du lịch Phú Thọ
BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội
NVP,CTCP Nước sạch Vĩnh Phúc
VFS,CTCP Chứng khoán Nhất Việt
CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái
STW,CTCP Cấp nước Sóc Trăng
L18,CTCP Đầu tư và Xây dựng Số 18
QCG,CTCP Quốc Cường Gia Lai
SBD,CTCP Công nghệ Sao Bắc Đẩu
PGC,Tổng Công ty Gas Petrolimex - CTCP
PGT,CTCP PGT Holdings
SPM,CTCP SPM
NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội
MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP
SBT,CTCP Thành Thành Công - Biên Hòa
SGB,Ngân hàng TMCP Sài Gòn Công Thương
SRC,CTCP Cao su Sao Vàng
SD6,CTCP Sông Đà 6
CTI,CTCP Đầu tư Phát triển Cường Thuận IDICO
PXS,CTCP Kết cấu Kim loại và Lắp máy Dầu khí
API,CTCP Đầu tư Châu Á - Thái Bình Dương
DIH,CTCP Đầu tư Phát triển Xây dựng - Hội An
CCM,CTCP khoáng sản và Xi măng Cần Thơ
VND,CTCP Chứng khoán VNDIRECT
MCP,CTCP In và Bao bì Mỹ Châu
THN,CTCP Cấp nước Thanh Hóa
TCB,Ngân hàng TMCP Kỹ thương Việt Nam
D11,CTCP Địa ốc 11
DBC,CTCP Tập đoàn Dabaco Việt Nam
KHG,CTCP Tập đoàn Khải Hoàn Land
CPA,CTCP Cà phê Phước An
GMX,CTCP Gạch ngói Gốm Xây dựng Mỹ Xuân
PTM,CTCP Sản xuất Thương mại và Dịch vụ Ô tô PTM
DRH,CTCP DRH Holdings
PSH,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu
TVM,CTCP Tư vấn Đầu tư mỏ và Công Nghiệp - Vinacomin
NTW,CTCP Cấp nước Nhơn Trạch
VNL,CTCP Logistics Vinalink
SGT,CTCP Công nghệ Viễn Thông Sài Gòn
PHN,CTCP Pin Hà Nội
BSI,CTCP Chứng khoán BIDV
BOT,CTCP BOT Cầu Thái Hà
LAS,CTCP Supe Phốt phát và Hóa chất Lâm Thao
BHI,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội
SJF,CTCP Đầu tư Sao Thái Dương
SHN,CTCP Đầu tư Tổng hợp Hà Nội
PEQ,CTCP Thiết bị Xăng dầu Petrolimex
NBC,CTCP Than Núi Béo - Vinacomin
VGS,CTCP Ống thép Việt - Đức VG PIPE
CNN,"CTCP Tư vấn Công nghệ, Thiết bị và Kiểm Định Xây dựng - Coninco"
MCF,CTCP Xây lắp Cơ khí và Lương thực Thực phẩm
HJS,CTCP Thủy điện Nậm Mu
DWS,CTCP Cấp nước và Môi trường đô thị Đồng Tháp
HSG,CTCP Tập đoàn Hoa Sen
CNC,CTCP Công nghệ Cao Traphaco
HLD,CTCP Đầu tư và Phát triển Bất động sản Hudland
PAI,CTCP Công nghệ thông tin Viễn thông và Tự động hóa Dầu Khí
X26,CTCP 26
SCJ,CTCP Xi măng Sài Sơn
TVA,CTCP Sứ Viglacera Thanh Trì
PAS,CTCP Quốc tế Phương Anh
SZE,CTCP Môi trường Sonadezi
TMS,CTCP Transimex
C4G,CTCP Tập đoàn CIENCO4
XHC,CTCP Xuân Hòa Việt Nam
BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam
KKC,CTCP Tập Đoàn Thành Thái
HUT,CTCP Tasco
SKN,CTCP Nước giải khát Sanna Khánh Hòa
KMT,CTCP Kim khí Miền Trung
BRS,CTCP Dịch vụ Đô thị Bà Rịa
HND,CTCP Nhiệt điện Hải Phòng
DTH,CTCP Dược - Vật tư Y Tế Thanh Hóa
ACM,CTCP Tập đoàn Khoáng sản Á Cường
PEN,CTCP Xây lắp III Petrolimex
BMS,CTCP Chứng khoán Bảo Minh
LCG,CTCP Lizen
HCM,CTCP Chứng khoán Thành phố Hồ Chí Minh
SBA,CTCP Sông Ba
EVF,Công ty Tài chính Tổng hợp Cổ phần Điện lực
LAI,CTCP Đầu Tư Xây dựng Long An IDICO
VIB,Ngân hàng TMCP Quốc tế Việt Nam
PVY,CTCP Chế tạo Giàn khoan Dầu khí
AAA,CTCP Nhựa An Phát Xanh
TR1,CTCP Vận Tải 1 Traco
L45,CTCP Lilama 45.1
HAH,CTCP Vận tải và Xếp dỡ Hải An
VDL,CTCP Thực phẩm Lâm Đồng
VMD,CTCP Y Dược phẩm Vimedimex
GLC,CTCP Vàng Lào Cai
HSV,CTCP Tập đoàn HSV Việt Nam
CAR,CTCP Tập đoàn Giáo dục Trí Việt
HD8,CTCP Đầu tư Phát triển Nhà và Đô thị HUD8
KDC,CTCP Tập đoàn KIDO
SCG,CTCP Tập đoàn Xây dựng SCG
LO5,CTCP Lilama 5
EVE,CTCP Everpia
FCC,CTCP Liên hợp Thực phẩm
SD9,CTCP Sông Đà 9
PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP
VAV,CTCP VIWACO
PTX,CTCP Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh
BBM,CTCP Bia Hà Nội - Nam Định
SSB,Ngân hàng TMCP Đông Nam Á
SAB,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn
TV2,CTCP Tư vấn Xây dựng Điện 2
VNZ,CTCP Tập đoàn VNG 
NAS,CTCP Dịch vụ Hàng không Sân bay Việt Nam
NCS,CTCP Suất ăn Hàng không Nội Bài
CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh
CSM,CTCP Công nghiệp Cao su Miền Nam
SCS,CTCP Dịch vụ Hàng hóa Sài Gòn
NDN,CTCP Đầu tư Phát triển Nhà Đà Nẵng
HPD,CTCP Thủy điện ĐăK Đoa
HHG,CTCP Hoàng Hà
QNW,CTCP Cấp thoát nước và Xây dựng Quảng Ngãi
TET,CTCP Vải sợi May mặc Miền Bắc
PVX,Tổng Công ty cổ phần Xây lắp Dầu khí Việt Nam
SMC,CTCP Đầu tư Thương mại SMC
DAH,CTCP Tập đoàn Khách sạn Đông Á
KHX,CTCP Phát hành sách Khánh Hòa
EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam
FTS,CTCP Chứng khoán FPT
HLB,CTCP Bia và Nước giải khát Hạ Long
KTL,CTCP Kim Khí Thăng Long
TL4,Tổng Công ty cổ phần Xây dựng Thủy Lợi 4 - CTCP
SBH,CTCP Thủy điện Sông Ba Hạ
SCO,CTCP Công nghiệp Thủy sản
FOC,CTCP Dịch vụ Trực tuyến FPT
EVS,CTCP Chứng khoán EVS
LM3,CTCP Lilama 3
BBT,CTCP Bông Bạch Tuyết
NVL,CTCP Tập đoàn Đầu tư Địa ốc No Va 
HEP,CTCP Môi trường và Công trình Đô thị Huế
VKC,CTCP VKC Holdings 
CKD,CTCP Cơ khí Đông Anh LICOGI
S72,CTCP Sông Đà 7.02
AIG,CTCP Nguyên liệu Á Châu AIG
THW,CTCP Cấp nước Tân Hòa
VSG,CTCP Container Phía Nam
PBT,CTCP Bao bì và Thương mại dầu khí Bình Sơn
HNR,CTCP Rượu và Nước giải khát Hà Nội
DLT,CTCP Du lịch và Thương mại - Vinacomin
BFC,CTCP Phân bón Bình Điền
PPS,CTCP Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam
TTG,CTCP May Thanh Trì
DAE,CTCP Sách Giáo dục tại Thành phố Đà Nẵng
FDC,CTCP Ngoại thương và  Phát triển Đầu tư Thành phố Hồ Chí Minh
CEO,CTCP Tập đoàn C.E.O
STG,CTCP Kho vận Miền Nam
PPI,CTCP Đầu tư và Phát triển Dự án Hạ tầng Thái Bình Dương
AMS,CTCP Cơ khí Xây dựng AMECC
TSB,CTCP Ắc quy Tia Sáng
DP2,CTCP Dược phẩm Trung ương 2
GGG,CTCP Ô tô Giải Phóng
TCK,Tổng Công ty Cơ khí Xây dựng - CTCP
CKG,CTCP Tập đoàn CIC
CKV,CTCP COKYVINA
HQC,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân
CSC,CTCP Tập đoàn Cotana
PXM,CTCP Xây lắp Dầu khí Miền Trung
BVB,Ngân hàng TMCP Bản Việt
SSF,CTCP Giáo dục G Sài Gòn
SSI,CTCP Chứng khoán SSI
PPH,Tổng Công ty cổ phần Phong Phú
BMF,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai
CT6,CTCP Công trình 6
VIC,Tập đoàn VINGROUP - CTCP
DTC,CTCP Viglacera Đông Triều
HNM,CTCP Sữa Hà Nội
CMD,CTCP Vật liệu Xây dựng và Trang trí nội thất Thành phố Hồ Chí Minh
GH3,CTCP Công trình Giao thông Hà Nội
FCS,CTCP Lương thực Thành phố Hồ Chí Minh
DTK,Tổng Công ty Điện lực TKV - CTCP
RDP,CTCP Rạng Đông Holding
TNA,CTCP Thương mại Xuất nhập khẩu Thiên Nam
VW3,CTCP Viwaseen3
HLS,CTCP Sứ Kỹ thuật Hoàng Liên Sơn
MSH,CTCP May Sông Hồng
NSL,CTCP Cấp nước Sơn La
MNB,Tổng Công ty May Nhà Bè - CTCP
KHD,CTCP Khai thác Chế biến Khoáng sản Hải Dương
HCT,CTCP Thương mại Dịch vụ Vận tải Xi măng Hải Phòng
POV,CTCP Xăng dầu Dầu khí Vũng Áng
TCM,CTCP Dệt may - Đầu tư - Thương mại Thành Công
VLS,CTCP Sản xuất Thép Việt Long
TDC,CTCP Kinh doanh và Phát triển Bình Dương
KHP,CTCP Điện lực Khánh Hòa
SVG,CTCP Hơi Kỹ nghệ Que hàn
SD2,CTCP Sông Đà 2
NBE,CTCP Sách và Thiết bị Giáo dục Miền Bắc
VPR,CTCP VinaPrint
MST,CTCP Đầu tư MST
ICC,CTCP Xây dựng Công nghiệp (ICC)
CCA,CTCP Xuất nhập khẩu Thuỷ sản Cần Thơ
SGI,CTCP Đầu tư SGI Holdings
PVR,CTCP Đầu tư PVR Hà Nội
MSR,CTCP Masan High-Tech Materials
ANV,CTCP Nam Việt
EID,CTCP Đầu tư và Phát triển Giáo dục Hà Nội
AAS,CTCP Chứng khoán SmartInvest 
NAF,CTCP Nafoods Group
VNG,CTCP Du lịch Thành Thành Công
BTD,CTCP Bê tông Ly tâm Thủ Đức
YBM,CTCP Khoáng sản Công nghiệp Yên Bái
TKA,CTCP Bao bì Tân Khánh An
CLC,CTCP Cát Lợi
HFB,CTCP Công trình Cầu phà Thành phố Hồ Chí Minh
BEL,CTCP Điện tử Biên Hòa
FIR,CTCP Địa ốc First Real
PSG,CTCP Đầu Tư và Xây lắp Dầu khí Sài Gòn
KHS,CTCP Kiên Hùng
CMM,CTCP Camimex
VGI,Tổng Công ty cổ phần Đầu tư Quốc tế Viettel
VGT,Tập đoàn Dệt May Việt Nam
GDW,CTCP Cấp nước Gia Định
VE9,CTCP Đầu tư và Xây dựng VNECO 9
ABR,CTCP Đầu tư Nhãn hiệu Việt
PND,CTCP Xăng dầu Dầu khí Nam Định
CQN,CTCP Cảng Quảng Ninh
VIF,Tổng Công ty Lâm nghiệp Việt Nam - CTCP
L35,CTCP Cơ khí Lắp máy Lilama
PVL,CTCP Địa ốc Dầu khí
SMA,CTCP Thiết bị Phụ tùng Sài Gòn
TTL,Tổng Công ty Thăng Long - CTCP
FRT,CTCP Bán lẻ Kỹ thuật số FPT
TCJ,CTCP Tô Châu
DRI,CTCP Đầu tư Cao su Đắk Lắk
TOW,CTCP Cấp nước Trà Nóc - Ô Môn
MAS,CTCP Dịch vụ Hàng không Sân bay Đà Nẵng
CH5,CTCP Xây dựng Số 5 Hà Nội
SDK,CTCP Cơ khí Luyện kim
WTC,CTCP Vận tải Thủy - Vinacomin
SHB,Ngân hàng TMCP Sài Gòn - Hà Nội
BVG,CTCP Group Bắc Việt
ILC,CTCP Hợp tác Lao động với nước ngoài
QTP,CTCP Nhiệt điện Quảng Ninh
ACG,CTCP Gỗ An Cường
BRC,CTCP Cao su Bến Thành
CST,CTCP Than Cao Sơn - TKV
PCH,CTCP Nhựa Picomat
CC1,Tổng Công ty Xây dựng Số 1 - CTCP
HMD,CTCP Hóa chất Minh Đức
DNE,CTCP Môi trường Đô thị Đà Nẵng
IN4,CTCP In Số 4
DSE,CTCP Chứng khoán DNSE
MCC,CTCP Gạch ngói Cao cấp
KSQ,CTCP CNC Capital Việt Nam
EME,CTCP Điện cơ
AVF,CTCP Việt An
PTO,CTCP Dịch vụ - Xây dựng Công trình Bưu Điện
PSD,CTCP Dịch vụ Phân phối Tổng hợp Dầu khí
CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long
ATG,CTCP ATG Planet
VTJ,CTCP Thương mại và Đầu tư VI NA TA BA
PRC,CTCP Logistics Portserco
CSV,CTCP Hóa chất Cơ bản Miền Nam
BTS,CTCP Xi măng VICEM Bút Sơn
DXG,CTCP Tập đoàn Đất Xanh
SHS,CTCP Chứng khoán Sài Gòn - Hà Nội
MED,CTCP Dược Trung ương Mediplantex
POM,CTCP Thép Pomina
NBB,CTCP Đầu tư Năm Bảy Bảy
SGR,CTCP Tổng CTCP Địa ốc Sài Gòn
DVM,CTCP Dược liệu Việt Nam
LGC,CTCP Đầu tư Cầu đường CII
PIT,CTCP Xuất nhập khẩu Petrolimex
NHV,CTCP Sức Khỏe Hồi Sinh Việt Nam
QPH,CTCP Thủy điện Quế Phong
CTB,CTCP Chế tạo Bơm Hải Dương
UDL,CTCP Đô thị và Môi trường Đắk Lắk
PPE,CTCP Tư vấn đầu tư PP Enterprise
REE,CTCP Cơ Điện Lạnh
SMN,CTCP Sách và Thiết bị Giáo dục Miền Nam
HRB,CTCP Harec Đầu tư và Thương mại
MCO,CTCP Đầu tư và Xây dựng BDC Việt Nam
TCR,CTCP Công nghiệp Gốm sứ Taicera
TW3,CTCP Dược Trung ương 3
STS,CTCP Dịch vụ Vận tải Sài Gòn
AGP,CTCP Dược phẩm Agimexpharm
VXB,CTCP Vật liệu Xây dựng Bến Tre
HRC,CTCP Cao su Hòa Bình
VMS,CTCP Phát triển Hàng Hải
HSA,CTCP Hestia
ORS,CTCP Chứng khoán Tiên Phong
HPI,CTCP Khu công nghiệp Hiệp Phước
VEF,CTCP Trung tâm Hội chợ Triển lãm Việt Nam
VMC,CTCP Vimeco
DID,CTCP DIC - Đồng Tiến
NET,CTCP Bột giặt NET
VTP,Tổng Công ty cổ phần Bưu chính Viettel
NAP,CTCP Cảng Nghệ Tĩnh
TS3,CTCP Trường Sơn 532
CX8,CTCP Đầu tư và Xây lắp Constrexim Số 8
BAL,CTCP Bao bì Bia - Rượu - Nước giải khát
FTM,CTCP Đầu tư và Phát triển Đức Quân
DDN,CTCP Dược và Thiết bị Y tế Đà Nẵng
SDN,CTCP Sơn Đồng Nai
UPC,CTCP Phát triển Công viên Cây xanh và Đô thị Vũng Tàu
HUB,CTCP Xây lắp Thừa Thiên Huế
GTD,CTCP Giầy Thượng Đình
EVG,CTCP Tập đoàn EverLand
BCV,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico
TNG,CTCP Đầu tư và Thương mại TNG
SEP,CTCP Tổng Công ty Thương mại Quảng Trị
BSR,CTCP Lọc hóa Dầu Bình Sơn
SGC,CTCP Xuất nhập khẩu Sa Giang
COM,CTCP Vật tư - Xăng Dầu
CRC,CTCP Create Capital Việt Nam
TTF,CTCP Tập đoàn Kỹ nghệ gỗ Trường Thành
TV3,CTCP Tư vấn Xây dựng Điện 3
LBM,CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng
VLA,CTCP Đầu tư và Phát triển Công nghệ Văn Lang
DS3,CTCP DS3
ACE,CTCP Bê tông Ly tâm An Giang
ISG,CTCP Vận tải biển và Hợp tác Lao động Quốc tế
PWS,CTCP Cấp thoát nước Phú Yên
S55,CTCP Sông Đà 505
OPC,CTCP Dược phẩm OPC
LSS,CTCP Mía Đường Lam Sơn
LMI,CTCP Đầu tư Xây dựng Lắp máy IDICO
MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP
DHB,CTCP Phân đạm và Hóa chất Hà Bắc
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam
PVM,CTCP Máy - Thiết bị Dầu khí
MGC,CTCP Địa chất mỏ - TKV
DWC,CTCP Cấp nước Đắk Lắk
FHS,CTCP Phát hành Sách Thành phố Hồ Chí Minh
DTI,CTCP Đầu tư Đức Trung
AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn
QSP,CTCP Tân Cảng Quy Nhơn
TBR,CTCP Địa ốc Tân Bình
HTT,CTCP Thương mại Hà Tây
NHC,CTCP Gạch ngói Nhị Hiệp
DKC,CTCP Chợ Lạng Sơn
VCB,Ngân hàng TMCP Ngoại thương Việt Nam
CTS,CTCP Chứng khoán VietinBank
VPH,CTCP Vạn Phát Hưng
PV2,CTCP Đầu tư PV2
TRT,CTCP RedstarCera
HAT,CTCP Thương mại Bia Hà Nội
TED,Tổng công ty Tư vấn thiết kế Giao thông vận tải - CТСР
BT1,CTCP Bảo vệ Thực vật 1 Trung Ương
VPL,CTCP Vinpearl
TCT,CTCP Cáp treo Núi Bà Tây Ninh
MSB,Ngân hàng TMCP Hàng hải Việt Nam
BWA,CTCP Cấp thoát nước và Xây dựng Bảo Lộc
VIT,CTCP Viglacera Tiên Sơn
LDP,CTCP Dược Lâm Đồng (Ladophar)
VQC,CTCP Giám định - Vinacomin
TVG,CTCP Tư vấn Đầu tư và Xây dựng Giao thông Vận tải
BWS,CTCP Cấp nước Bà Rịa - Vũng Tàu
YEG,CTCP Tập đoàn Yeah1
HTC,CTCP Thương mại Hóc Môn
HLC,CTCP Than Hà Lầm - Vinacomin
MPT,CTCP Tập đoàn MPT
PGV,Tổng Công ty Phát điện 3 - CTCP
HAC,CTCP Chứng khoán Hải Phòng
PC1,CTCP Tập Đoàn PC1
ABW,CTCP Chứng khoán An Bình
JVC,CTCP Đầu tư Y tế - Dược phẩm Việt Nam
HNB,CTCP Bến xe Hà Nội
VMT,CTCP Giao nhận Vận tải miền Trung
SAL,CTCP Trục vớt Cứu hộ Việt Nam
VC9,CTCP Xây dựng số 9 - VC9
VIM,CTCP Khoáng sản Viglacera
TVC,CTCP Tập đoàn Quản lý tài sản T-Corp
NCT,CTCP Dịch vụ Hàng hóa Nội Bài
MKV,CTCP Dược thú Y Cai Lậy
CK8,CTCP Cơ khí 120
CAN,CTCP Đồ hộp Hạ Long
PGN,CTCP Phụ Gia Nhựa
BCB,CTCP 397
HHP,CTCP HHP Global
VCK,CTCP Chứng khoán VPS
VNY,CTCP Thuốc thú y Trung ương I
CQT,CTCP Xi măng Quán Triều VVMI
VAB,Ngân hàng TMCP Việt Á
GLT,CTCP Kỹ thuật Điện Toàn cầu
NCG,CTCP Tập đoàn Nova Consumer
MCH,CTCP Hàng tiêu dùng Masan
VLW,CTCP Cấp nước Vĩnh Long
CYC,CTCP Gạch men Chang Yih
DUS,CTCP Dịch vụ Đô thị Đà Lạt
DSD,CTCP DHC Suối Đôi
PGS,CTCP Kinh doanh Khí Miền Nam
TID,CTCP Tổng Công ty Tín Nghĩa
TCI,CTCP Chứng khoán Thành Công
BCC,CTCP Xi măng Bỉm Sơn
SDD,CTCP Đầu tư và Xây lắp Sông Đà
ASG,CTCP Tập đoàn ASG
INC,CTCP Tư vấn Đầu tư IDICO
TMG,CTCP Kim loại màu Thái Nguyên - Vimico
SSM,CTCP Chế tạo kết cấu Thép Vneco.SSM
TD6,CTCP Than Đèo Nai - Cọc Sáu - TKV
VNT,CTCP Giao nhận Vận tải Ngoại thương
UDC,CTCP Đầu tư Xây dựng UDCons
LPT,CTCP Thương mại và Sản xuất Lập Phương Thành
THG,CTCP Đầu tư và Xây dựng Tiền Giang
BAB,Ngân hàng TMCP Bắc Á
DRL,CTCP Thủy điện - Điện Lực 3
BAX,CTCP Thống Nhất
DFC,CTCP Xích líp Đông Anh
VDG,CTCP Vạn Đạt Group
CMT,CTCP Công nghệ Mạng và Truyền thông
PMC,CTCP Dược phẩm Dược liệu Pharmedic
DTD,CTCP Đầu tư Phát triển Thành Đạt
VHD,CTCP Đầu tư Phát triển Nhà và Đô Thị VINAHUD
QHW,CTCP Nước khoáng Quảng Ninh
CEN,CTCP CENCON Việt Nam
CMF,CTCP Thực phẩm Cholimex
UMC,CTCP Công trình Đô thị Nam Định
TMC,CTCP Thương mại Xuất nhập khẩu Thủ Đức
DLD,CTCP Du lịch Đắk Lắk
NDP,CTCP Dược phẩm 2/9
HKT,CTCP Đầu tư QP Xanh
HHV,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả
AMP,CTCP Armephaco
VHM,CTCP Vinhomes
VDN,CTCP Vinatex Đà Nẵng
HBD,CTCP Bao Bì PP Bình Dương
VPX,CTCP Chứng khoán VPBank
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng
S74,CTCP Sông Đà 7.04
VCX,CTCP Xi măng Yên Bình
GMC,CTCP Garmex Sài Gòn
SSC,CTCP Giống cây trồng Miền Nam
TDG,CTCP Đầu tư TDG Global
BHG,CTCP Chè Biển Hồ
LUT,CTCP Đầu tư Xây dựng Lương Tài
DCT,CTCP Tấm lợp Vật liệu Xây dựng Đồng Nai
NRC,CTCP Tập đoàn NRC
POT,CTCP Thiết bị Bưu điện
AME,CTCP Alphanam E&C
SPB,CTCP Sợi Phú Bài
VDT,CTCP Lưới thép Bình Tây
PMJ,CTCP Vật tư Bưu Điện
DVT,Trung tâm đào tạo nghiệp vụ Giao thông vận tải Bình Định
SHP,CTCP Thủy điện Miền Nam
GAS,Tổng Công ty Khí Việt Nam - CTCP
PMS,CTCP Cơ khí Xăng dầu
L62,CTCP Lilama 69-2
ONE,CTCP Công nghệ One
XPH,CTCP Xà phòng Hà Nội
GDT,CTCP Chế biến Gỗ Đức Thành
HNP,CTCP Hanel Xốp nhựa
KSB,CTCP Khoáng sản và Xây dựng Bình Dương
CTA,CTCP Vinavico
DNW,CTCP Cấp nước Đồng Nai
TFC,CTCP Trang
VCE,CTCP Xây lắp Môi trường
BDT,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp
LTG,CTCP Tập đoàn Lộc Trời
CAT,CTCP Thủy sản Cà Mau
LMC,CTCP Long Beach LMC
QBS,CTCP Xuất nhập khẩu Quảng Bình
CNG,CTCP CNG Việt Nam
DCF,CTCP Xây dựng và Thiết kế Số 1
FCM,CTCP Bê tông Phan Vũ Hà Nam
TPB,Ngân hàng TMCP Tiên Phong
PTV,CTCP Thương mại Dầu khí
PGI,Tổng Công ty cổ phần Bảo hiểm Petrolimex
NHH,CTCP Nhựa Hà Nội
S4A,CTCP Thủy điện Sê San 4A
VCG,Tổng Công ty cổ phần Xuất nhập khẩu và Xây dựng Việt Nam
NTH,CTCP Thủy điện Nước Trong
PVD,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí
NVB,Ngân hàng TMCP Quốc Dân
VE8,CTCP Xây dựng Điện VNECO 8
MEC,CTCP Cơ khí - Lắp máy Sông Đà
HTM,Tổng Công ty Thương mại Hà Nội - CTCP
SBL,CTCP Bia Sài Gòn - Bạc Liêu
LIG,CTCP Licogi 13
HMG,CTCP Kim khí Hà Nội - VNSTEEL
FRM,CTCP Lâm Nghiệp Sài Gòn
MCG,CTCP Năng lượng và Bất động sản MCG
MND,CTCP Môi trường Nam Định
DHP,CTCP Điện cơ Hải Phòng
VE3,CTCP Xây dựng Điện VNECO 3
CCC,CTCP Xây dựng CDC
VNH,CTCP Đầu tư Việt Việt Nhật
MIC,CTCP Kỹ nghệ Khoáng sản Quảng Nam
MBS,CTCP Chứng khoán MB
DRC,CTCP Cao su Đà Nẵng
IME,CTCP Cơ khí và Xây lắp Công nghiệp
APF,CTCP Nông sản Thực phẩm Quảng Ngãi
QHD,CTCP Que hàn điện Việt Đức
DFF,CTCP Tập đoàn Đua Fat
CDG,CTCP Cầu Đuống
NST,CTCP Ngân Sơn
MIG,Tổng Công ty cổ phần Bảo hiểm Quân Đội
VCR,CTCP Đầu tư và Phát triển Du lịch Vinaconex
TTH,CTCP Thương mại và Dịch vụ Tiến Thành
QNC,CTCP Xi măng và Xây dựng Quảng Ninh
PCF,CTCP Cà phê PETEC
PTP,CTCP PTP
DXS,CTCP Dịch vụ Bất động sản Đất Xanh
VEC,Tổng Công ty cổ phần Điện tử và Tin học Việt Nam
CLM,CTCP Xuất nhập khẩu Than - Vinacomin
ITD,CTCP Công nghệ ITD
SIG,CTCP Đầu tư và Thương mại Sông Đà
L14,CTCP Licogi 14
TIE,CTCP TIE
