frequency,model,horizon,baseline,model_accuracy,baseline_accuracy,accuracy_delta,model_better_than_baseline,model_n_obs,source_artifact,claim_supported,limitation,status
hourly,stacking,4,previous_direction,0.5121981424148607,0.4973374613003096,0.014860681114551133,true,8075,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,stacking,4,random_seeded_direction,0.5121981424148607,0.4963467492260062,0.015851393188854535,true,8075,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,stacking,8,always_up,0.4932219801500847,0.4980634229000242,-0.004841442749939473,false,8262,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,stacking,8,moving_average_signal,0.4932219801500847,0.4702251270878722,0.022996853062212552,true,8262,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,stacking,8,previous_direction,0.4932219801500847,0.4951585572500605,-0.0019365770999758003,false,8262,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,stacking,8,random_seeded_direction,0.4932219801500847,0.5054466230936819,-0.012224642943597208,false,8262,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,stacking,20,always_up,0.46823104693140793,0.5018050541516246,-0.03357400722021664,false,8310,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,stacking,20,moving_average_signal,0.46823104693140793,0.4766546329723225,-0.008423586040914588,false,8310,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,stacking,20,previous_direction,0.46823104693140793,0.4996389891696751,-0.03140794223826715,false,8310,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,stacking,20,random_seeded_direction,0.46823104693140793,0.49975932611311674,-0.03152827918170881,false,8310,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,xgboost,1,always_up,0.5493936503610846,0.45305899986374165,0.09633465049734291,true,7339,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,xgboost,1,moving_average_signal,0.5493936503610846,0.4872598446654858,0.06213380569559879,true,7339,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,xgboost,1,previous_direction,0.5493936503610846,0.48712358631966207,0.06227006404142249,true,7339,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,xgboost,1,random_seeded_direction,0.5493936503610846,0.5002043875187355,0.049189262842349035,true,7339,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,xgboost,4,always_up,0.513312693498452,0.47306501547987617,0.040247678018575817,true,8075,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,xgboost,4,moving_average_signal,0.513312693498452,0.47640866873065013,0.03690402476780186,true,8075,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,xgboost,4,previous_direction,0.513312693498452,0.4973374613003096,0.015975232198142397,true,8075,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,xgboost,4,random_seeded_direction,0.513312693498452,0.4963467492260062,0.0169659442724458,true,8075,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,xgboost,8,always_up,0.49818445896877267,0.4980634229000242,0.00012103606874847017,true,8262,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,xgboost,8,moving_average_signal,0.49818445896877267,0.4702251270878722,0.027959331880900495,true,8262,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,xgboost,8,previous_direction,0.49818445896877267,0.4951585572500605,0.003025901718712143,true,8262,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,xgboost,8,random_seeded_direction,0.49818445896877267,0.5054466230936819,-0.007262164124909265,false,8262,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,xgboost,20,always_up,0.5055354993983153,0.5018050541516246,0.00373044524669075,true,8310,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,xgboost,20,moving_average_signal,0.5055354993983153,0.4766546329723225,0.0288808664259928,true,8310,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,xgboost,20,previous_direction,0.5055354993983153,0.4996389891696751,0.005896510228640239,true,8310,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,xgboost,20,random_seeded_direction,0.5055354993983153,0.49975932611311674,0.0057761732851985825,true,8310,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
